Standard,Category,Call name,Inputs,Outputs,Description
WHATWG,Console,assert(),"(assertion, ?message)",,"The console.assert() static method writes an error message to the console if the assertion is false. If the assertion is true, nothing happens."
WHATWG,Console,clear(),,,The console.clear() static method clears the console if possible.
WHATWG,Console,count(),(?label),,The console.count() static method logs the number of times that this particular call to count() has been called.
WHATWG,Console,countReset(),(?label),,The console.countReset() static method resets counter used with console.count().
WHATWG,Console,debug(),(message),,"The console.debug() static method outputs a message to the console at the ""debug"" log level. The message is only displayed to the user if the console is configured to display debug output. In most cases, the log level is configured within the console UI. This log level might correspond to the Debug or Verbose log level."
WHATWG,Console,info(),(message),,"The console.info() static method outputs a message to the console at the ""info"" log level. The message is only displayed to the user if the console is configured to display info output. In most cases, the log level is configured within the console UI. The message may receive special formatting, such as a small ""i"" icon next to it."
WHATWG,Console,log(),(message),,The console.log() static method outputs a message to the console.
WHATWG,Console,trace(),,,The console.trace() static method outputs a stack trace to the console.
WHATWG,Console,warn(),(message),,"The console.warn() static method outputs a warning message to the console at the ""warning"" log level. The message is only displayed to the user if the console is configured to display warning output. In most cases, the log level is configured within the console UI. The message may receive special formatting, such as yellow colors and a warning icon."
WHATWG,Console,group(),(?label),,"The console.group() static method creates a new inline group in the Web console log, causing any subsequent console messages to be indented by an additional level, until console.groupEnd() is called."
WHATWG,Console,groupCollapsed(),(?label),,"The console.groupCollapsed() static method creates a new inline group in the console. Unlike console.group(), however, the new group is created collapsed. The user will need to use the disclosure button next to it to expand it, revealing the entries created in the group."
WHATWG,Console,groupEnd(),,,The console.groupEnd() static method exits the current inline group in the console. See Using groups in the console in the console documentation for details and examples.
WHATWG,Console,time(),(?label),,"The console.time() static method starts a timer you can use to track how long an operation takes. You give each timer a unique name, and may have up to 10,000 timers running on a given page. When you call console.timeEnd() with the same name, the browser will output the time, in milliseconds, that elapsed since the timer was started."
WHATWG,Console,timeLog(),(?label),,The console.timeLog() static method logs the current value of a timer that was previously started by calling console.time().
WHATWG,Console,timeEnd(),(?label),,The console.timeEnd() static method stops a timer that was previously started by calling console.time().
WHATWG,Console,exception(),,,"Alias for console.error(). The console.error() static method outputs a message to the console at the ""error"" log level. The message is only displayed to the user if the console is configured to display error output. In most cases, the log level is configured within the console UI. The message may be formatted as an error, with red colors and call stack information."
